"PUZZLE","CATEGORY","DATE USED"
"TINY BUBBLES IN THE WINE","Song Lyrics","11/14/08 (#4925)"
"SALLY & LAVA FIELD","Same Name","11/14/08 (#4925)"
"TURQUOISE BLUE WATER","Thing","11/14/08 (#4925)"
"TRAIN CONDUCTOR","Occupation","11/14/08 (#4925)"
"PETER PETER PUMPKIN EATER","Rhyme Time","11/14/08 (#4925)"
"MILK JUG","Thing","11/14/08 (#4925)"
"REACH OUT I'LL BE THERE","Song Title","11/17/08 (#4926)"
"INFLATABLE RAFT","Thing","11/17/08 (#4926)"
"EXCHANGING DOLLARS FOR FOREIGN CURRENCY","What Are You Doing?","11/17/08 (#4926)"
"KEVIN BACON BITS","Before & After","11/17/08 (#4926)"
"FRESHMAN-YEAR ROOMATES","People","11/17/08 (#4926)"
"BACKCOUNTRY HIKE","Fun & Games","11/17/08 (#4926)"
"LANCE ARMSTRONG","Proper Name","11/17/08 (#4926)"
"TOUGH EXAM","Thing","11/17/08 (#4926)"
"PATIO FURNITURE","Around the House","11/18/08 (#4927)"
"EVENT PLANNER","Occupation","11/18/08 (#4927)"
"BARBECUE PIT STOP","Before & After","11/18/08 (#4927)"
"ANTE UP & DOUBLE DOWN","Fun & Games","11/18/08 (#4927)"
"MR. FANTASTIC & THE INVISIBLE WOMAN","Fictional Family","11/18/08 (#4927)"
"BARCELONA SPAIN","On the Map","11/18/08 (#4927)"
"THE HEART OF THE MATTER","Phrase","11/18/08 (#4927)"
"KHAKI UNIFORM","Thing","11/18/08 (#4927)"
"VISITOR CENTER","Place","11/19/08 (#4928)"
"FOUR-WHEEL DRIVE","Thing","11/19/08 (#4928)"
"FRUIT COCKTAIL DRESS","Before & After","11/19/08 (#4928)"
"UNDER PRESSURE BY QUEEN & DAVID BOWIE","Rock On!","11/19/08 (#4928)"
"SOARING ABOVE GLACIERS IN A SEAPLANE","Event","11/19/08 (#4928)"
"TRUSTED FRIEND","Person","11/19/08 (#4928)"
"UPHOLSTERED SOFA CUSHIONS","Around the House","11/19/08 (#4928)"
"WORKAHOLIC","Person","11/19/08 (#4928)"
"LANDSCAPE DESIGNER","Occupation","11/20/08 (#4929)"
"DISCOVERY CHANNEL","Show Biz","11/20/08 (#4929)"
"COMPACT ESPRESSO MACHINE","In the Kitchen","11/20/08 (#4929)"
"ALL HANDS ON DECK","Phrase","11/20/08 (#4929)"
"WHISTLE A HAPPY TUNE-UP","Before & After","11/20/08 (#4929)"
"THE FRENCH ALPS","On the Map","11/20/08 (#4929)"
"PAN-SEARED CRAB CAKES","Food & Drink","11/20/08 (#4929)"
"BLOGGER","Person","11/20/08 (#4929)"
"STARGAZER LILIES","Living Things","11/21/08 (#4930)"
"PICNIC TABLE","Thing","11/21/08 (#4930)"
"PIRATES OF THE CARIBBEAN MOVIE TRILOGY","Show Biz","11/21/08 (#4930)"
"THE IRONMAN WORLD CHAMPIONSHIP","Event","11/21/08 (#4930)"
"PERFECT SURFING CONDITIONS","Phrase","11/21/08 (#4930)"
"INVESTMENT BANKER","Occupation","11/21/08 (#4930)"
"THE CONTINENT OF AUSTRALIA","On the Map","11/21/08 (#4930)"
"BY THE WAY","Phrase","11/21/08 (#4930)"
"KONA COFFEE","Food & Drink","11/24/08 (#4931)"
"BEVELED MIRROR","Around the House","11/24/08 (#4931)"
"STERLING SILVER BRACELET","Thing","11/24/08 (#4931)"
"EXPLORING ANCIENT RUINS","Event","11/24/08 (#4931)"
"COOKIE SHEETS AND PILLOWCASES","Before & After","11/24/08 (#4931)"
"INSTANT REPLAY","Show Biz","11/24/08 (#4931)"
"POLYNESIAN RESTAURANT","Place","11/24/08 (#4931)"
"GOLF HAT","Thing","11/24/08 (#4931)"
"MORNING TEE TIME","Fun & Games","11/25/08 (#4932)"
"SCOTLAND & WALES","On the Map","11/25/08 (#4932)"
"ANNUAL HULA FESTIVAL","Event","11/25/08 (#4932)"
"WE ALL LIVE IN A YELLOW SUBMARINE","Song Lyrics","11/25/08 (#4932)"
"THE HUSTLE AND BUSTLE OF THE BIG CITY","Phrase","11/25/08 (#4932)"
"EXPERT DRIVERS","People","11/25/08 (#4932)"
"ELECTRONICS WAREHOUSE","Place","11/25/08 (#4932)"
"UTOPIA","Fictional Place","11/25/08 (#4932)"
"OPENING CEREMONIES","Event","11/26/08 (#4933)"
"THE NAME OF THE GAME","Rhyme Time","11/26/08 (#4933)"
"OUT WITH THE OLD IN WITH THE NEW YORKER","Before & After","11/26/08 (#4933)"
"FLAPJACKS HOME FRIES & CANADIAN BACON","Food & Drink","11/26/08 (#4933)"
"SUPERMODEL AND TV HOST HEIDI KLUM","Show Biz","11/26/08 (#4933)"
"GRADUATE STUDENT","Person","11/26/08 (#4933)"
"HOLD THAT THOUGHT","Phrase","11/26/08 (#4933)"
"JUNEAU","On the Map","11/26/08 (#4933)"
"THE LOCAL NEWSPAPER","Thing","11/27/08 (#4934)"
"FAMILY PORTRAIT","Around the House","11/27/08 (#4934)"
"BUTTERCREAM FROSTED CUPCAKES","Food & Drink","11/27/08 (#4934)"
"DANCING WITH THE STARS AND STRIPES","Before & After","11/27/08 (#4934)"
"POPULAR TOURIST ATTRACTION","Place","11/27/08 (#4934)"
"STEVEN SPIELBERG","Proper Name","11/27/08 (#4934)"
"RATTLESNAKES AND ARMADILLOS","Living Things","11/27/08 (#4934)"
"PAYCHECK","Thing","11/27/08 (#4934)"
"HIGHWAYS AND BYWAYS","Rhyme Time","11/28/08 (#4935)"
"INDEPENDENCE MISSOURI","On the Map","11/28/08 (#4935)"
"RIGHT ON THE WATER'S EDGE","Place","11/28/08 (#4935)"
"BEARS & CUBS THE WINDY CITY PAT'S HOMETOWN","Where Are We?","11/28/08 (#4935)"
"THE LAND OF THE FREE-RANGE CHICKENS","Before & After","11/28/08 (#4935)"
"ELDER STATESMAN","Person","11/28/08 (#4935)"
"DICTIONARY DEFINITIONS","Things","11/28/08 (#4935)"
"FULL OF INTRIGUE","Phrase","11/28/08 (#4935)"
"SOME ASSEMBLY REQUIRED","Phrase","12/1/08 (#4936)"
"PEPPERMINT TEA","Food & Drink","12/1/08 (#4936)"
"LUXURIOUS SUITES & FINE DINING","Things","12/1/08 (#4936)"
"JOLLY OLD SAINT NICK NOLTE","Before & After","12/1/08 (#4936)"
"BAKING GINGERBREAD COOKIES","What Are You Doing?","12/1/08 (#4936)"
"HEAD COACH","Person","12/1/08 (#4936)"
"LAMBSWOOL SWEATER","Around the House","12/1/08 (#4936)"
"STAY FOCUSED","Phrase","12/1/08 (#4936)"
"YOU BETTER SHOP AROUND","Song Lyrics","12/2/08 (#4937)"
"WALDROF SALAD","Food & Drink","12/2/08 (#4937)"
"BRAND-NEW PAIR OF BOOT-CUT JEANS","Thing","12/2/08 (#4937)"
"POINT OF NO RETURN POLICY","Before & After","12/2/08 (#4937)"
"THIS IS WHAT IT'S ALL ABOUT","Phrase","12/2/08 (#4937)"
"BROTHERS AND SISTERS","TV Title","12/2/08 (#4937)"
"SECRET SERVICE AGENT","Occupation","12/2/08 (#4937)"
"SHOE POLISH","Around the House","12/2/08 (#4937)"
"OFF-ROAD VEHICLE","Thing","12/2/08 (#4937)"
"'TIS THE SEASON","Quotation","12/3/08 (#4938)"
"GAL PAL","Rhyme Time","12/3/08 (#4938)"
"DAZZLING WINDOW DISPLAYS","Thing","12/3/08 (#4938)"
"SOMETHING ROMANTIC ABOUT TRAVELING BY TRAIN","Phrase","12/3/08 (#4938)"
"CORDUROY & SMARTY-PANTS","Same Name","12/3/08 (#4938)"
"THE BIG BANG THEROY","TV Title","12/3/08 (#4938)"
"DON'T STAND SO CLOSE TO ME","Song Lyrics","12/3/08 (#4938)"
"HOLD THE MAYO","Phrase","12/3/08 (#4938)"
"A PERFECT FIT","Phrase","12/4/08 (#4939)"
"THE PRICE IS RIGHT","TV Title","12/4/08 (#4939)"
"EARLY BIRDS & BARGAIN HUNTERS","People","12/4/08 (#4939)"
"BRILLIANT NATURAL BEAUTY","Thing","12/4/08 (#4939)"
"I CAN'T GET NO SATISFACTION GUARANTEED","Before & After","12/4/08 (#4939)"
"MOUNT FUJI IN JAPAN","Landmark","12/4/08 (#4939)"
"A BEHIND-THE-SCENES LOOK","Show Biz","12/4/08 (#4939)"
"CERAMIC COFFEE MUGS","In the Kitchen","12/4/08 (#4939)"
"COZY CAFE","Place","12/4/08 (#4939)"
"SHIPPING & HANDLING","Things","12/5/08 (#4940)"
"WINTER COAT","Around the House","12/5/08 (#4940)"
"I'VE ALWAYS WANTED TO GO THERE","Phrase","12/5/08 (#4940)"
"CLOSET SPACE INVADERS","Before & After","12/5/08 (#4940)"
"DESPERATE HOUSEWIVES STAR TERI HATCHER","Proper Name","12/5/08 (#4940)"
"PIZZA BY THE SLICE","Food & Drink","12/5/08 (#4940)"
"BARBERSHOP QUARTET","People","12/5/08 (#4940)"
"SLEEPING IN","What Are You Doing?","12/5/08 (#4940)"
"ROCK MUSIC","Show Biz","12/5/08 (#4940)"
"FORMAL BOW TIE","Thing","12/5/08 (#4940)"
"BACK IN THE SADDLE AGAIN","Song Lyrics","12/8/08 (#4941)"
"SQUIRT-GUN FIGHT","Fun & Games","12/8/08 (#4941)"
"THE LAND OF THE MIDNIGHT SUN","Place","12/8/08 (#4941)"
"THE GOLDEN GIRLS","TV Title","12/8/08 (#4941)"
"BIRDS OF A FEATHER FLOCK TOGETHER","Rhyme Time","12/8/08 (#4941)"
"ROLL-TOP DESK","Thing","12/8/08 (#4941)"
"COMMITTEE CHAIRMAN","Person","12/8/08 (#4941)"
"BREAKFAST CEREAL","Food & Drink","12/8/08 (#4941)"
"CUTE KID","Person","12/8/08 (#4941)"
"ANIMAL SANCTUARY","Place","12/9/08 (#4942)"
"THREE BLIND MICE","Fictional Characters","12/9/08 (#4942)"
"HEAVY-EQUIPMENT OPERATOR","Occupation","12/9/08 (#4942)"
"AFTER-DINNER & U.S. MINT","Same Name","12/9/08 (#4942)"
"ESCAPING TO THE ISLANDS","What Are You Doing?","12/9/08 (#4942)"
"CHERRY TOMATOES","Food & Drink","12/9/08 (#4942)"
"WOULDN'T HURT A FLY","Phrase","12/9/08 (#4942)"
"VANTAGE POINT","Place","12/9/08 (#4942)"
"KUNG FU PANDA","Movie Title","12/10/08 (#4943)"
"WINDOW COVERINGS","Around the House","12/10/08 (#4943)"
"A CAT HAS NINE LIVES","Phrase","12/10/08 (#4943)"
"SINKING MY TOES IN THE SAND","Fun & Games","12/10/08 (#4943)"
"CREAM PUFF THE MAGIC DRAGON","Before & After","12/10/08 (#4943)"
"LONG-TERM GOALS","Things","12/10/08 (#4943)"
"SPINACH SALAD","Food & Drink","12/10/08 (#4943)"
"I'M SKEPTICAL","Phrase","12/10/08 (#4943)"
"ANT FARM","Thing","12/11/08 (#4944)"
"METEOR SHOWER","Event","12/11/08 (#4944)"
"YOU CAN'T TEACH AN OLD DOG NEW TRICKS","Phrase","12/11/08 (#4944)"
"SOMWHERE OVER THE RAINBOW TROUT","Before & After","12/11/08 (#4944)"
"UNFORGETTABLE THEME PARKS","Places","12/11/08 (#4944)"
"SWEET HOME ALABAMA","Song Title","12/11/08 (#4944)"
"COLLARS & LEASHES","Around the House","12/11/08 (#4944)"
"KEEP IT HANDY","Phrase","12/11/08 (#4944)"
"SAN DIEGO ZOO","Landmark","12/12/08 (#4945)"
"COUNTING SHEEP","What Are You Doing?","12/12/08 (#4945)"
"VAST WILDERNESS AND FRONTIER TOWNS","Places","12/12/08 (#4945)"
"CRATE & BARREL OF MONKEYS","Before & After","12/12/08 (#4945)"
"EVERYTHING HAPPENS FOR A REASON","Phrase","12/12/08 (#4945)"
"WALKING AND TALKING","Rhyme Time","12/12/08 (#4945)"
"FRESHWATER AQUARIUM","Thing","12/12/08 (#4945)"
"SCANDINAVIA","On the Map","12/12/08 (#4945)"
"BLANK FORM","Thing","12/12/08 (#4945)"
"A FILM FOR THE WHOLE FAMILY","Show Biz","12/15/08 (#4946)"
"TOTE BAG","Around the House","12/15/08 (#4946)"
"BASED ON THE BEST-SELLING BOOK","Phrase","12/15/08 (#4946)"
"BEGINNER AND INTERMEDIATE SKI SLOPES","Places","12/15/08 (#4946)"
"HONEY-ROASTED NUTS & BOLTS","Before & After","12/15/08 (#4946)"
"WISH LIST","Thing","12/15/08 (#4946)"
"FASHION DESIGNER","Occupation","12/15/08 (#4946)"
"CIVIC DUTY","Thing","12/15/08 (#4946)"
"TINSELTOWN","Place","12/16/08 (#4947)"
"RIBBONS AND BOWS","Around the House","12/16/08 (#4947)"
"CATCHING SNOWFLAKES ON YOUR TOUNGE","Fun & Games","12/16/08 (#4947)"
"FACTS & ACTION FIGURES","Same Name","12/16/08 (#4947)"
"HANDMADE TORTILLAS & SPICY SALSA","Food & Drink","12/16/08 (#4947)"
"RISK TAKER","Person","12/16/08 (#4947)"
"THE FINISHING TOUCH","Thing","12/16/08 (#4947)"
"UNIQUE FLAVOR","Thing","12/16/08 (#4947)"
"DIRECTOR'S CUT","Show Biz","12/17/08 (#4948)"
"PINE CONES","Things","12/17/08 (#4948)"
"WINE CELLARS AND TASTING ROOMS","Places","12/17/08 (#4948)"
"THERE'S NO BUSINESS LIKE SHOW BUSINESS","Song Lyrics","12/17/08 (#4948)"
"MAGNIFYING GLASS SLIPPER","Before & After","12/17/08 (#4948)"
"ACTOR JOHNNY DEPP","Proper Name","12/17/08 (#4948)"
"EXTRA VIRGIN OLIVE OIL","Food & Drink","12/17/08 (#4948)"
"MAIDEN VOYAGE","Event","12/17/08 (#4948)"
"READING CUE CARDS","Show Biz","12/18/08 (#4949)"
"A NOVEL IDEA","Thing","12/18/08 (#4949)"
"GO DIRECTLY TO JAIL DO NOT PASS GO","Fun & Games","12/18/08 (#4949)"
"LUGGAGE RACK OF LAMB","Before & After","12/18/08 (#4949)"
"COOLING OFF IN THE SHADE OF A PALM TREE","What Are You Doing?","12/18/08 (#4949)"
"BAKER'S DOZEN","Phrase","12/18/08 (#4949)"
"INTERNATIONAL DATE LINE","On the Map","12/18/08 (#4949)"
"WOOL SOCKS","Things","12/18/08 (#4949)"
"THE HOLLYWOOD SIGN","Landmark","12/19/08 (#4950)"
"SIBERIAN HUSKIES","Living Things","12/19/08 (#4950)"
"COMING SOON TO A THEATER NEAR YOU","Show Biz","12/19/08 (#4950)"
"SHOPPING FOR A NEW SWIMSUIT","What Are You Doing?","12/19/08 (#4950)"
"WIT & WISDOM TEETH","Before & After","12/19/08 (#4950)"
"FAIR & SQUARE","Rhyme Time","12/19/08 (#4950)"
"TIME-HONORED TRADITIONS","Things","12/19/08 (#4950)"
"LEX LUTHOR","Fictional Character","12/19/08 (#4950)"
"JIGSAW PUZZLE","Fun & Games","12/19/08 (#4950)"
"JINGLE ALL THE WAY","Song Lyrics","12/22/08 (#4951)"
"PATCHWORK QUILT","Around the House","12/22/08 (#4951)"
"HOCKEY STICK OF GUM","Before & After","12/22/08 (#4951)"
"HIS-AND-HERS SPA TREATMENTS","Things","12/22/08 (#4951)"
"SLEDDING DOWN A STEEP HILL","Fun & Games","12/22/08 (#4951)"
"ANIMATED MOVIE","Show Biz","12/22/08 (#4951)"
"KISSING UNDER THE MISTLETOE","What Are You Doing?","12/22/08 (#4951)"
"BIRDBATH","Thing","12/22/08 (#4951)"
"FAMILY GATHERING","Event","12/23/08 (#4952)"
"ACTRESS MEG RYAN","Proper Name","12/23/08 (#4952)"
"CURLING UP IN THE FRONT OF THE FIRE","What Are You Doing?","12/23/08 (#4952)"
"PUNCHING BAG OF TRICKS","Before & After","12/23/08 (#4952)"
"MIGRATING HUMPBACK WHALES","Living Things","12/23/08 (#4952)"
"COLUMBUS OHIO","On the Map","12/23/08 (#4952)"
"ENGLISH PROFESSOR","Occupation","12/23/08 (#4952)"
"RAY OF HOPE","Phrase","12/23/08 (#4952)"
"BUSHY WHITE BEARD","Thing","12/24/08 (#4953)"
"CHILLED EGGNOG","Food & Drink","12/24/08 (#4953)"
"LAST-MINUTE SHOPPERS","People","12/24/08 (#4953)"
"TRIVIAL PURSUIT OF HAPPINESS","Before & After","12/24/08 (#4953)"
"ZIPPING AROUND THE ISLAND ON A SCOOTER","Fun & Games","12/24/08 (#4953)"
"BE OF GOOD CHEER","Phrase","12/24/08 (#4953)"
"PUSHING DAISIES","TV Title","12/24/08 (#4953)"
"WISECRACK","Thing","12/24/08 (#4953)"
"SMILING CHILDREN","People","12/25/08 (#4954)"
"CUSTOM CABINETS","In the Kitchen","12/25/08 (#4954)"
"ENJOYING AN AFTERNOON SIESTA IN A HAMMOCK","What Are You Doing?","12/25/08 (#4954)"
"RUDOLPH'S RED NOSE GUIDES SANTA'S SLEIGH","Event","12/25/08 (#4954)"
"MISS PIGGY BANK","Before & After","12/25/08 (#4954)"
"MOUNTAIN RETREAT","Place","12/25/08 (#4954)"
"STAINED-GLASS WINDOWS","Things","12/25/08 (#4954)"
"SIBLING RIVALRY","Thing","12/25/08 (#4954)"
"HOLIDAY CONCERT","Show Biz","12/26/08 (#4955)"
"THE NORTH POLE","On the Map","12/26/08 (#4955)"
"GUMDROPS & LOLLIPOPS","Food & Drink","12/26/08 (#4955)"
"THE EXPERIENCE OF A LIFETIME","Thing","12/26/08 (#4955)"
"PUT A LITTLE LOVE IN YOUR HEART","Song Lyrics","12/26/08 (#4955)"
"GROUND FLOOR","Place","12/26/08 (#4955)"
"IT WAS WORTH THE WAIT","Phrase","12/26/08 (#4955)"
"MASTER CARPENTER","Occupation","12/26/08 (#4955)"
"SHARP CURVE","Thing","12/26/08 (#4955)"
"PINK CHAMPAGNE","Food & Drink","12/29/08 (#4956)"
"HOUSE OF CARDS","Fun & Games","12/29/08 (#4956)"
"BACK BY POPULAR DEMAND","Phrase","12/29/08 (#4956)"
"BAKING BROWNIES FROM SCRATCH","What Are You Doing?","12/29/08 (#4956)"
"THE SEVEN HILLS OF ROME","Places","12/29/08 (#4956)"
"AFTERSCHOOL SPECIAL","Show Biz","12/29/08 (#4956)"
"GLASS BEER MUGS","Around the House","12/29/08 (#4956)"
"INTROVERTS & EXTROVERTS","People","12/29/08 (#4956)"
"DOUBLE AGENT","Person","12/29/08 (#4956)"
"THE HEARTLAND OF AMERICA","Place","12/30/08 (#4957)"
"SOCIAL STUDIES TEACHER","Occupation","12/30/08 (#4957)"
"BRUCE SPRINGSTEEN'S BORN TO RUN","Rock On!","12/30/08 (#4957)"
"CHILLING OUT IN A SWAYING HAMMOCK","What Are You Doing?","12/30/08 (#4957)"
"WRECKING CREW-NECK SWEATER","Before & After","12/30/08 (#4957)"
"HEALTH & WEALTH","Rhyme Time","12/30/08 (#4957)"
"APRONS & POTHOLDERS","In the Kitchen","12/30/08 (#4957)"
"FOAM RUBBER","Thing","12/30/08 (#4957)"
"TIMES SQUARE","On the Map","12/31/08 (#4958)"
"AMETEUR INVENTOR","Person","12/31/08 (#4958)"
"LAUGHING OUT LOUD AT LIMERICKS","Fun & Games","12/31/08 (#4958)"
"BRAISED CHUCK NORRIS","Before & After","12/31/08 (#4958)"
"DON'T BEAT AROUND THE BUSH","Phrase","12/31/08 (#4958)"
"FOOD & WINE FESTIVAL","Event","12/31/08 (#4958)"
"DANCE THE NIGHT AWAY","Song Title","12/31/08 (#4958)"
"BLIND LUCK","Phrase","12/31/08 (#4958)"
"DESK CALENDAR","Thing","1/1/09 (#4959)"
"PICKLES & SAUERKRAUT","Food & Drink","1/1/09 (#4959)"
"THE APPALACHIAN TRAIL","On the Map","1/1/09 (#4959)"
"HUMAN AND RELAY RACE","Same Name","1/1/09 (#4959)"
"STROLLING BAREFOOT ALONG THE BEACH","What Are You Doing?","1/1/09 (#4959)"
"HISTORIC LANDMARK","Place","1/1/09 (#4959)"
"IT'S GOING TO BE A GOOD YEAR","Phrase","1/1/09 (#4959)"
"CHEWY LICORICE","Food & Drink","1/1/09 (#4959)"
"GIFT BASKET","Thing","1/2/09 (#4960)"
"DRESS IN LAYERS","Phrase","1/2/09 (#4960)"
"SHARING DIGITAL PHOTOS OF MY VACATION","What Are You Doing?","1/2/09 (#4960)"
"CHOCOLATE-DIPPED DRIED FRUIT","Food & Drink","1/2/09 (#4960)"
"PROTEIN SHAKE RATTLE & ROLL","Before & After","1/2/09 (#4960)"
"THE COLORADO RIVER","On the Map","1/2/09 (#4960)"
"SPORTS MEMORABILIA","Around the House","1/2/09 (#4960)"
"YUMA & PHOENIX","On the Map","1/2/09 (#4960)"
"REPORTING FOR DUTY","Event","1/5/09 (#4961)"
"ALARM CLOCK","Around the House","1/5/09 (#4961)"
"CORDLESS DRILL SERGEANT","Before & After","1/5/09 (#4961)"
"BLACKENED CATFISH WITH GUMBO","Food & Drink","1/5/09 (#4961)"
"STANDARD OPERATING PROCEDURE","Phrase","1/5/09 (#4961)"
"ALGERIA & MOROCCO","On the Map","1/5/09 (#4961)"
"THE TWENTY-FIRST CENTURY","Thing","1/5/09 (#4961)"
"ABOVE AVERAGE","Phrase","1/5/09 (#4961)"
"BAND OF BROTHERS","Title","1/6/09 (#4962)"
"DUCK-BILLED PLATYPUS","Living Thing","1/6/09 (#4962)"
"TUCKED AWAY ON A QUIET SHORE","Phrase","1/6/09 (#4962)"
"FREQUENTLY ASKED QUESTIONS","Things","1/6/09 (#4962)"
"PERMANENT PRESS YOUR LUCK","Before & After","1/6/09 (#4962)"
"CONAN THE BARBARIAN","Fictional Character","1/6/09 (#4962)"
"CIRCUS PERFORMERS","People","1/6/09 (#4962)"
"HUMBLE ABODE","Place","1/6/09 (#4962)"
"THE RIGHT STUFF","Title","1/7/09 (#4963)"
"KODIAK BEAR","Living Thing","1/7/09 (#4963)"
"ACTOR-DIRECTOR CLINT EASTWOOD","Show Biz","1/7/09 (#4963)"
"FIRE DANCERS AT A LUAU","People","1/7/09 (#4963)"
"AIRCRAFT & MAIL CARRIER","Same Name","1/7/09 (#4963)"
"DRESS FOR SUCCESS","Rhyme Time","1/7/09 (#4963)"
"GOOSE DOWN PILLOWS","Around the House","1/7/09 (#4963)"
"FLAT STANLEY","Fictional Character","1/7/09 (#4963)"
"SLOWPOKE","Person","1/7/09 (#4963)"
"QUANTICO VIRGINIA","On the Map","1/8/09 (#4964)"
"ONE-ACT PLAY","Show Biz","1/8/09 (#4964)"
"DRIVERS AND PASSENGERS","People","1/8/09 (#4964)"
"HIGH-HEELED BOOT CAMP","Before & After","1/8/09 (#4964)"
"SEA OTTERS SWIMMING NEAR ICEBERGS","Living Things","1/8/09 (#4964)"
"ANCHORS AWEIGH","Song Title","1/8/09 (#4964)"
"THE TENSION IS MOUNTING","Phrase","1/8/09 (#4964)"
"FAIR ENOUGH","Phrase","1/8/09 (#4964)"
"FRONT AND CENTER","Phrase","1/9/09 (#4965)"
"SPEED DEMON","Person","1/9/09 (#4965)"
"LISTENING TO A MARIACHI BAND DURING DINNER","Fun & Games","1/9/09 (#4965)"
"ELBOW ROOM FOR RENT","Before & After","1/9/09 (#4965)"
"GETTYSBURG NATIONAL MILITARY PARK","Landmark","1/9/09 (#4965)"
"PHONETIC ALPHABET","Thing","1/9/09 (#4965)"
"COIN COLLECTION","Around the House","1/9/09 (#4965)"
"YOUNG PUP","Living Thing","1/9/09 (#4965)"
"TAKE LOTS OF PICTURES","Phrase","1/12/09 (#4966)"
"ASTRONOMER","Person","1/12/09 (#4966)"
"RICH CULTURAL HERITAGE","Thing","1/12/09 (#4966)"
"ISTANBUL TURKEY DRUMSTICK","Before & After","1/12/09 (#4966)"
"A FAMILY OF TRAPEZE ARTISTS","Show Biz","1/12/09 (#4966)"
"PLAYING CATCH-UP","What Are You Doing?","1/12/09 (#4966)"
"SECRET HEADQUARTERS","Place","1/12/09 (#4966)"
"KILOGRAMS","Things","1/12/09 (#4966)"
"I'M ON MY WAY","Phrase","1/13/09 (#4967)"
"MEASURING CUP","In the Kitchen","1/13/09 (#4967)"
"A LITTER OF SIAMESE KITTENS","Living Things","1/13/09 (#4967)"
"BASKING IN THE WARM SUNSHINE","Fun & Games","1/13/09 (#4967)"
"IRONING BOARD OF EDUCATION","Before & After","1/13/09 (#4967)"
"THE REAL DEAL","Rhyme Time","1/13/09 (#4967)"
"OVERNIGHT SUCCESS","Person","1/13/09 (#4967)"
"PEACH FUZZ","Thing","1/13/09 (#4967)"
"GARMENT BAG","Thing","1/14/09 (#4968)"
"SKIPPING ROPE","Fun & Games","1/14/09 (#4968)"
"KEITH URBAN LEGEND","Before & After","1/14/09 (#4968)"
"JUNGLE RIVERBOAT RIDE","Thing","1/14/09 (#4968)"
"PUTTING THE ICE ON THE CAKE","What Are You Doing?","1/14/09 (#4968)"
"RARE ORCHIDS","Living Things","1/14/09 (#4968)"
"CLOSE BUT NO CIGAR","Phrase","1/14/09 (#4968)"
"BLOWOUT","Event","1/14/09 (#4968)"
"TRAVEL LOG","Thing","1/15/09 (#4969)"
"THE WONDERER","Song Title","1/15/09 (#4969)"
"AWARD-WINNING CHILDREN'S BOOK AUTHOR","Person","1/15/09 (#4969)"
"TWICE-BAKED & COUCH POTATO","Same Name","1/15/09 (#4969)"
"LOBBY OF A BROADWAY THEATER","Place","1/15/09 (#4969)"
"SWEET TREAT","Rhyme Time","1/15/09 (#4969)"
"AN ENORMOUS UNDERTAKING","Event","1/15/09 (#4969)"
"FOOLPROOF PLAN","Thing","1/15/09 (#4969)"
"PACK YOUR THINGS","Phrase","1/16/09 (#4970)"
"PEDIATRICIAN","Occupation","1/16/09 (#4970)"
"THE GENTLE ROCKING OF THE WAVES","Thing","1/16/09 (#4970)"
"THE BOY WHO CRIED WOLF BLITZER","Before & After","1/16/09 (#4970)"
"SHARING A BANANA SPLIT","What Are You Doing?","1/16/09 (#4970)"
"REESE WITHERSPOON","Proper Name","1/16/09 (#4970)"
"INFANTS & TODDLERS","People","1/16/09 (#4970)"
"LOVE POEM","Thing","1/16/09 (#4970)"
"MAKING THE HONOR ROLL","Event","1/19/09 (#4971)"
"LIVE BROADCAST","Show Biz","1/19/09 (#4971)"
"I BEFORE E EXCEPT AFTER C","Rhyme Time","1/19/09 (#4971)"
"STUDY HALL OF MIRRORS","Before & After","1/19/09 (#4971)"
"EARTH'S AMAZING RAIN FORESTS","Places","1/19/09 (#4971)"
"HOMECOMING QUEEN","Person","1/19/09 (#4971)"
"MAGAZINE SUBSCRIPTION","Thing","1/19/09 (#4971)"
"PACK OF WOLVES","Living Things","1/19/09 (#4971)"
"THE GRADUATE","Title","1/20/09 (#4972)"
"HALIFAX NOVA SCOTIA","On the Map","1/20/09 (#4972)"
"SIT BACK AND RELAX BY THE POOL","Phrase","1/20/09 (#4972)"
"LASER & BALANCE BEAM","Same Name","1/20/09 (#4972)"
"KING ARTHUR & THE KNIGHTS OF THE ROUND TABLE","Fictional Characters","1/20/09 (#4972)"
"PUBLIC-ADDRESS SYSTEM","Thing","1/20/09 (#4972)"
"STRIKES SPARES AND SPLITS","Fun & Games","1/20/09 (#4972)"
"FISH TACOS","Food & Drink","1/20/09 (#4972)"
"ASK YOUR DOCTOR","Phrase","1/20/09 (#4972)"
"SAFETY PATROL","People","1/21/09 (#4973)"
"PINK TULIPS","Living Things","1/21/09 (#4973)"
"VICE PRINCIPAL'S OFFICE","Place","1/21/09 (#4973)"
"LEAVE THE MAINLAND BEHIND","Phrase","1/21/09 (#4973)"
"DUCK CALL HAMMOCK","Before & After","1/21/09 (#4973)"
"WHY CAN'T WE BE FRIENDS?","Song Lyrics","1/21/09 (#4973)"
"VOCABULARY WORDS","Things","1/21/09 (#4973)"
"AERIAL FOOTAGE","Thing","1/21/09 (#4973)"
"TAKING ATTENDANCE","What Are You Doing?","1/22/09 (#4974)"
"KNUCKLEBALL","Fun & Games","1/22/09 (#4974)"
"SAILING OUT WITH THE TIDE","Event","1/22/09 (#4974)"
